"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Fontana","Fontana","CA","California","06071","San Bernardino","34.0968","-117.4599","212704","1906","shape","FALSE","TRUE","America/Los_Angeles","2","92335 92336 92337","1840020402"
"Hickory","Hickory","NC","North Carolina","37035","Catawba","35.7410","-81.3223","211042","515","shape","FALSE","TRUE","America/New_York","2","28601 28602","1840014524"
"Moreno Valley","Moreno Valley","CA","California","06065","Riverside","33.9244","-117.2045","208751","1570","shape","FALSE","TRUE","America/Los_Angeles","2","92551 92553 92555 92557","1840020552"
"Deltona","Deltona","FL","Florida","12127","Volusia","28.9050","-81.2137","205914","950","shape","FALSE","TRUE","America/New_York","2","32725 32738","1840015072"
"Fargo","Fargo","ND","North Dakota","38017","Cass","46.8651","-96.8292","205472","957","shape","FALSE","TRUE","America/Chicago","2","58102 58104 58103 58105","1840000177"
"Santa Barbara","Santa Barbara","CA","California","06083","Santa Barbara","34.4285","-119.7202","205215","1799","shape","FALSE","TRUE","America/Los_Angeles","2","93105 93101 93103 93109","1840021829"
"College Station","College Station","TX","Texas","48041","Brazos","30.5852","-96.2959","203848","873","shape","FALSE","TRUE","America/Chicago","2","77843 77840 77845","1840019570"
"Gainesville","Gainesville","FL","Florida","12001","Alachua","29.6804","-82.3459","203541","816","shape","FALSE","TRUE","America/New_York","2","32608 32609 32607 32610 32612 32653 32603 32601 32605","1840014022"
"Amarillo","Amarillo","TX","Texas","48375","Potter","35.1984","-101.8316","202902","751","shape","FALSE","TRUE","America/Chicago","2","79121 79109 79101 79102 79103 79104 79106 79107 79118 79111 79110","1840019156"
"Norwich","Norwich","CT","Connecticut","09011","New London","41.5495","-72.0882","201726","538","shape","FALSE","TRUE","America/New_York","2","06380 06389 06360","1840004828"
"Olympia","Olympia","WA","Washington","53067","Thurston","47.0417","-122.8959","200836","1108","shape","FALSE","TRUE","America/Los_Angeles","2","98502 98501 98506","1840019865"
"Yonkers","Yonkers","NY","New York","36119","Westchester","40.9466","-73.8673","200183","4292","shape","FALSE","TRUE","America/New_York","2","10708 10703 10701 10707 10705 10704 10710","1840003478"
"Huntington Beach","Huntington Beach","CA","California","06059","Orange","33.6960","-118.0018","199778","2857","shape","FALSE","TRUE","America/Los_Angeles","2","92648 92649 92646 92647 90742","1840020578"
"Glendale","Glendale","CA","California","06037","Los Angeles","34.1819","-118.2468","199357","2525","shape","FALSE","TRUE","America/Los_Angeles","2","91210 91214 91201 91205 91208 91203 91202 91204 91207 91206 91046 91020","1840020483"
"Aurora","Aurora","IL","Illinois","17089","Kane","41.7638","-88.2902","199326","1709","shape","FALSE","TRUE","America/Chicago","2","60505 60506 60504 60502 60503","1840007034"
"Huntington","Huntington","WV","West Virginia","54011","Cabell","38.4109","-82.4345","199133","1098","shape","FALSE","TRUE","America/New_York","2","25703 25702 25701 25705 25704 25755","1840006211"
"Sunrise Manor","Sunrise Manor","NV","Nevada","32003","Clark","36.1783","-115.0487","198187","2269","shape","FALSE","FALSE","America/Los_Angeles","2","89104 89142 89110 89115 89156 89121 89122","1840033833"
"North Port","North Port","FL","Florida","12115","Sarasota","27.0576","-82.1977","195848","267","shape","FALSE","TRUE","America/New_York","2","34286 34287 34293 34223 34291 34288 34289","1840015120"
"Hagerstown","Hagerstown","MD","Maryland","24043","Washington","39.6401","-77.7217","194602","1270","shape","FALSE","TRUE","America/New_York","2","21742 21740","1840005613"
"Grand Prairie","Grand Prairie","TX","Texas","48113","Dallas","32.6871","-97.0208","193835","1031","shape","FALSE","TRUE","America/Chicago","2","75052 75050 75051 75054 75104","1840020709"
"Overland Park","Overland Park","KS","Kansas","20091","Johnson","38.8870","-94.6870","193412","993","shape","FALSE","TRUE","America/Chicago","2","66214 66210 66211 66212 66213 66221 66223 66209 66202 66207 66204 66013 66251 66085 66224","1840003834"
"Paradise","Paradise","NV","Nevada","32003","Clark","36.0872","-115.1355","193150","1758","shape","FALSE","FALSE","America/Los_Angeles","2","89103 89109 89158 89169 89118 89119 89121 89120 89123","1840033743"
"Tempe","Tempe","AZ","Arizona","04013","Maricopa","33.3881","-111.9319","191607","1852","shape","FALSE","TRUE","America/Phoenix","2","85281 85282 85283 85284","1840021942"
"Salinas","Salinas","CA","California","06053","Monterey","36.6883","-121.6317","190345","2564","shape","FALSE","TRUE","America/Los_Angeles","2","93901 93905 93906","1840021632"
"Erie","Erie","PA","Pennsylvania","42049","Erie","42.1167","-80.0733","189513","1948","shape","FALSE","TRUE","America/New_York","2","16546 16510 16508 16507 16502 16504 16503 16550 16501 16511","1840000478"
"Cedar Rapids","Cedar Rapids","IA","Iowa","19113","Linn","41.9662","-91.6783","188618","712","shape","FALSE","TRUE","America/Chicago","2","52404 52405 52401 52411 52402 52403","1840000471"
"Waterbury","Waterbury","CT","Connecticut","09009","New Haven","41.5582","-73.0361","188607","1460","shape","FALSE","TRUE","America/New_York","2","06708 06702 06704 06705 06706 06710","1840004851"
"Frisco","Frisco","TX","Texas","48085","Collin","33.1560","-96.8216","188387","1059","shape","FALSE","TRUE","America/Chicago","2","75034 75036 75033 75035","1840020654"
"Waco","Waco","TX","Texas","48309","McLennan","31.5599","-97.1882","186695","599","shape","FALSE","TRUE","America/Chicago","2","76798 76710 76711 76712 76708 76701 76707 76706 76704","1840022140"
"Gastonia","Gastonia","NC","North Carolina","37071","Gaston","35.2494","-81.1854","184902","572","shape","FALSE","TRUE","America/New_York","2","28054 28056 28052","1840013468"
"Clarksville","Clarksville","TN","Tennessee","47125","Montgomery","36.5692","-87.3413","183798","606","shape","FALSE","TRUE","America/Chicago","2","42223 37043 37042 37040","1840014421"
"Vancouver","Vancouver","WA","Washington","53011","Clark","45.6366","-122.5967","182792","1448","shape","FALSE","TRUE","America/Los_Angeles","2","98684 98664 98665 98660 98661 98662 98663 98682 98683","1840021189"
"Lorain","Lorain","OH","Ohio","39093","Lorain","41.4409","-82.1840","182015","1044","shape","FALSE","TRUE","America/New_York","2","44052 44053 44055","1840000644"
"Nampa","Nampa","ID","Idaho","16027","Canyon","43.5844","-116.5638","181887","1116","shape","FALSE","TRUE","America/Boise","2","83651 83687 83686","1840020041"
"Fort Lauderdale","Fort Lauderdale","FL","Florida","12011","Broward","26.1412","-80.1464","181818","2029","shape","FALSE","TRUE","America/New_York","2","33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311","1840014236"
"Hemet","Hemet","CA","California","06065","Riverside","33.7341","-116.9969","180380","1116","shape","FALSE","TRUE","America/Los_Angeles","2","92545 92543","1840020550"
"Newport News","Newport News","VA","Virginia","51700","Newport News","37.1051","-76.5185","179582","1005","shape","FALSE","TRUE","America/New_York","2","23601 23603 23608 23604 23605 23606 23607 23602","1840003862"
"Ontario","Ontario","CA","California","06071","San Bernardino","34.0393","-117.6064","178194","1376","shape","FALSE","TRUE","America/Los_Angeles","2","91762 91761 91764","1840020410"
